1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
5.281369556,5.285928689,5.291313542,5.2971313,5.303098617,5.308978201,5.314223106,5.318462448,5.320961154,5.321369582,5.319183003,5.314516816,5.30760195,5.299192837,5.289919468,5.281351109,5.274417973,5.270399588,5.269308149,5.270749849,5.273742542,5.277489373
5.281102349,5.28564906,5.291047217,5.296881712,5.302945606,5.30884353,5.314267685,5.318532869,5.321237345,5.321666183,5.319622802,5.314952168,5.308061488,5.299593069,5.290225778,5.281543555,5.274488976,5.270372326,5.269204451,5.270590851,5.273539343,5.277249484
5.281224213,5.285773001,5.29116534,5.296981349,5.303023369,5.308893001,5.314288971,5.318523126,5.321201803,5.321609833,5.319559718,5.31490121,5.308033025,5.299595099,5.290252264,5.281595878,5.274558335,5.27045679,5.26929806,5.27069131,5.273645829,5.277363818
5.281342225,5.285891722,5.291276726,5.297072909,5.303092663,5.30893403,5.314302711,5.318507281,5.321162409,5.321552295,5.319498458,5.314855019,5.30801122,5.299604317,5.290284819,5.281652736,5.274630178,5.270542076,5.269391252,5.270790544,5.273750388,5.277475356
5.28145549,5.286004096,5.291379739,5.297155443,5.303152371,5.308965615,5.314308163,5.31848496,5.321119193,5.321493964,5.319439734,5.314814547,5.307997169,5.29962189,5.290324502,5.281714804,5.274704752,5.270628088,5.269483688,5.270888048,5.273852372,5.277583311
5.280941698,5.285422089,5.290731138,5.296496195,5.302448757,5.308386676,5.313758263,5.318224457,5.321012994,5.321783569,5.319971469,5.315649087,5.309080551,5.300657231,5.29149999,5.28245503,5.27531777,5.270756003,5.26939278,5.270599518,5.273470695,5.277138621
5.281044432,5.285522226,5.290818956,5.296563551,5.302490048,5.308403412,5.313747758,5.318192566,5.320961786,5.321724348,5.31991551,5.315614531,5.309080948,5.300684683,5.291554608,5.282523154,5.275398532,5.270841726,5.269483256,5.270692445,5.273566203,5.277238032
5.281142311,5.28561583,5.290898299,5.296620945,5.302520819,5.308409794,5.313727772,5.318153081,5.320905442,5.321663253,5.319861448,5.315585885,5.309088579,5.30071995,5.291616361,5.282596351,5.275482257,5.270928356,5.269573198,5.270783801,5.273659247,5.277333889
5.280844999,5.285297405,5.290587091,5.296306432,5.302305511,5.308189391,5.313706856,5.318142484,5.32113954,5.321919564,5.320309396,5.316045664,5.309611138,5.301183235,5.291993932,5.2828374,5.275588801,5.270912377,5.269468317,5.270613538,5.273438482,5.277070403
5.28093228,5.285377424,5.290650504,5.296342955,5.302316287,5.308171992,5.313668149,5.31808376,5.321072367,5.321851345,5.320258163,5.316026558,5.309634503,5.30123522,5.292070834,5.282921088,5.275678247,5.270999956,5.269555881,5.270700142,5.273524943,5.277157761
5.281012655,5.285448399,5.290702543,5.296366153,5.302313268,5.308140984,5.313617451,5.318015501,5.320999309,5.321781368,5.320209845,5.316014631,5.309668119,5.301297685,5.292156855,5.283011034,5.275771077,5.271088255,5.269642343,5.27078427,5.273607691,5.27723992
5.280467373,5.284826168,5.28999829,5.295645232,5.301522042,5.307482579,5.312962,5.317676726,5.320800298,5.32202318,5.320689144,5.316908834,5.310651664,5.302606721,5.293172024,5.284083253,5.276264514,5.271373107,5.269529084,5.270494441,5.2732099,5.276771207
5.280529718,5.284875516,5.29002271,5.295640946,5.301486388,5.307424019,5.312882553,5.317590039,5.320712243,5.32195103,5.320644884,5.316915659,5.310702261,5.302696498,5.293274575,5.284191969,5.276362703,5.271464023,5.269611253,5.270571153,5.273281748,5.276838919
5.280583022,5.284913122,5.290032274,5.29561962,5.30143272,5.307348214,5.312787545,5.317491206,5.320616243,5.321876351,5.320603802,5.316931699,5.31076454,5.302798921,5.293387649,5.284308224,5.276464793,5.27155592,5.26969203,5.270644703,5.273348742,5.276899796
5.280623787,5.284934933,5.290022454,5.295576919,5.301357231,5.307251882,5.312674732,5.317379364,5.320512985,5.321801456,5.320569421,5.316961122,5.310843326,5.30291792,5.293513665,5.284433169,5.276570688,5.271647891,5.269769979,5.270713201,5.273408504,5.276950915
5.280272847,5.284545438,5.289627382,5.295141851,5.30102606,5.306878714,5.312536067,5.317230206,5.320674356,5.321993294,5.321032102,5.317472364,5.311460671,5.303495399,5.29398742,5.284759844,5.276720947,5.271652653,5.269660578,5.270524679,5.273158067,5.276646284
5.280291133,5.284538114,5.289583093,5.295055133,5.300908454,5.306734807,5.312385792,5.317082097,5.320551674,5.321907862,5.321006689,5.317523923,5.311569475,5.303645116,5.294139047,5.284903039,5.276835497,5.271745774,5.269733669,5.270583983,5.273204667,5.276679801
5.280291422,5.28450815,5.28951147,5.294938606,5.300761191,5.306562882,5.312212207,5.316916849,5.320420293,5.321822773,5.320991264,5.317593951,5.311699301,5.30381567,5.294306803,5.285056608,5.27695408,5.271838205,5.269802322,5.270635842,5.273240765,5.276699241
5.279678582,5.283800023,5.288684996,5.29408977,5.299791605,5.305749302,5.311357576,5.316436254,5.320059909,5.321982265,5.321423063,5.318426451,5.312932809,5.304983471,5.295774627,5.285955507,5.277789871,5.272040375,5.269759629,5.270326503,5.272807894,5.276179171
5.279664594,5.283750472,5.288583287,5.293944336,5.299607565,5.305550438,5.311153288,5.316255024,5.319912013,5.321894125,5.321407512,5.318499005,5.313073391,5.305142595,5.295934248,5.28608037,5.277887612,5.272110174,5.269815208,5.270369585,5.272836605,5.276188545
5.279673888,5.28372429,5.28850347,5.293823971,5.299450667,5.305381986,5.310979228,5.316101157,5.319782952,5.321812261,5.321388193,5.318544012,5.313162701,5.305226457,5.296004428,5.286114274,5.277909807,5.272131617,5.269850919,5.270415487,5.272880958,5.276218854
5.279637962,5.283643669,5.288360357,5.293637639,5.299228778,5.305155011,5.310756953,5.315915246,5.319640791,5.32173932,5.321399794,5.318635986,5.313306839,5.305361955,5.296117857,5.286178292,5.277948473,5.272155612,5.269877461,5.270442362,5.272897714,5.276212856
5.279386934,5.283338163,5.288053964,5.293240188,5.298975378,5.304797951,5.31069207,5.315760912,5.319841566,5.321883193,5.321843829,5.319024243,5.313750361,5.30562913,5.296231592,5.286110134,5.27777589,5.271943562,5.269679924,5.270265906,5.272717209,5.276000452
5.279017345,5.28287996,5.287447545,5.292637745,5.298192783,5.30419204,5.309933705,5.315353295,5.319384921,5.321881189,5.321897562,5.31959459,5.314197886,5.306578831,5.296748874,5.286970685,5.278093485,5.272314773,5.269730394,5.270201214,5.272531781,5.275720847
5.278620977,5.282378304,5.286835292,5.29195295,5.297464457,5.30348566,5.309293427,5.314856933,5.319074268,5.321819475,5.322097329,5.320050306,5.314813912,5.307283319,5.297416093,5.287537107,5.278482453,5.272524548,5.269766906,5.270102256,5.272323971,5.275417896
5.277732635,5.281305499,5.285657187,5.290550007,5.296167364,5.302026924,5.308232614,5.313814565,5.318698534,5.321686376,5.322757128,5.320920529,5.316451433,5.30869384,5.29928923,5.288655984,5.279559491,5.27278787,5.269720445,5.269689026,5.271724216,5.274675156
5.277310084,5.280764129,5.285024967,5.289850603,5.29546765,5.301359567,5.30767347,5.313391152,5.318474181,5.321672294,5.322996854,5.321325403,5.316964298,5.309187906,5.299721648,5.288952368,5.279724857,5.272812975,5.269637261,5.269515659,5.271473366,5.274342492
5.27682607,5.280148678,5.284319434,5.289080898,5.294710524,5.300647454,5.30708884,5.312958875,5.318261468,5.32168702,5.323282758,5.321759701,5.317485564,5.309659726,5.300107043,5.289177212,5.279804163,5.272744994,5.269465591,5.269265939,5.271159858,5.27395328
5.276256608,5.279438587,5.283523449,5.288228237,5.293890898,5.29989295,5.306489957,5.312536232,5.318087037,5.321762659,5.323630142,5.322224649,5.318002195,5.310080443,5.300405262,5.28928201,5.279747019,5.272539632,5.26917508,5.268926996,5.270780329,5.273498424
5.275476825,5.278609156,5.282476804,5.287366542,5.292847196,5.299318401,5.305802768,5.312519141,5.318031575,5.322336211,5.324170517,5.323050549,5.318650224,5.310526505,5.3005071,5.289001549,5.279196207,5.271856865,5.268531,5.268394821,5.270284286,5.272880294
5.275304456,5.278292577,5.282369,5.287117893,5.2930323,5.299286873,5.306265313,5.312599658,5.318394832,5.322144446,5.323669242,5.322207593,5.3171042,5.309313296,5.298667518,5.288076343,5.278239085,5.271763692,5.268567558,5.268529982,5.270283093,5.272768862
5.273502378,5.276669096,5.280502352,5.285567252,5.291154049,5.297995268,5.304603547,5.311818336,5.317319276,5.321994234,5.323241458,5.322223417,5.316860619,5.309212384,5.298483334,5.287891378,5.277857823,5.271096643,5.267590832,5.267226557,5.268797997,5.271073968
5.25960453,5.262800248,5.267304908,5.272203735,5.279044942,5.285838999,5.293916842,5.300794303,5.306441241,5.310556988,5.311612303,5.310131373,5.304782234,5.296677707,5.28612422,5.274995506,5.26486758,5.257701155,5.253742599,5.253390566,5.254653193,5.257272186
5.22110561,5.226554938,5.233808176,5.240363214,5.246643347,5.253403375,5.256513761,5.263128908,5.26291157,5.267069683,5.262941645,5.262410439,5.253639138,5.247496712,5.235546239,5.22693789,5.216782566,5.21208126,5.208772386,5.210599225,5.212907555,5.217825778
5.116062136,5.130384192,5.127377531,5.135793266,5.082570882,5.096259189,5.040546617,5.062605395,5.034060648,5.055327018,5.043492448,5.059627895,5.053563033,5.063010273,5.058301964,5.063495179,5.061648458,5.068570558,5.073117034,5.084522695,5.094044879,5.1079225
4.747538691,4.782821603,4.472841057,4.76384327,4.768560956,4.720724215,4.813293924,4.852187592,4.8924058,4.9250369,4.860301388,4.967929921,5.007490862,5.061377624,5.077078348,4.797430985,4.45639388,4.247072237,4.265713736,4.268692086,4.785373271,4.734686234
4.820147519,4.861988674,4.912416732,4.671410044,4.922357819,5.10887907,5.194103663,4.823457634,4.525477175,4.254124341,3.961626737,3.83361401,3.909810487,4.179478501,4.081165976,4.451126558,4.797148741,4.50096172,4.33490708,4.3482748,4.415631942,4.792365921
4.825279024,4.61912442,5.007228744,5.066086634,5.230476572,4.874889192,4.682104424,4.617937744,4.764299304,4.603215428,4.363214419,3.994392877,3.745557768,3.703803365,3.84188821,3.776829959,4.119513482,4.287351093,4.242840384,4.277477339,4.519893844,4.615442044
